filename,tsne_dim1,tsne_dim2
DB0-m2_o1_o14_f0_nbo.sym.55_repeat,69.72683,-6.3614726
DB0-m2_o1_o14_f0_nbo.sym.56_repeat,69.897514,0.124631226
DB0-m2_o1_o14_f0_nbo.sym.57_repeat,69.90976,-4.8289056
DB0-m2_o1_o14_f0_nbo.sym.58_repeat,71.44533,-10.162864
DB0-m2_o1_o14_f0_nbo.sym.59_repeat,57.103725,8.093282
DB0-m2_o1_o14_f0_nbo.sym.6_repeat,75.49381,-10.804689
DB0-m2_o1_o14_f0_nbo.sym.60_repeat,56.936275,7.862999
DB0-m2_o1_o14_f0_nbo.sym.61_repeat,75.3944,-10.546317
DB0-m2_o1_o14_f0_nbo.sym.63_repeat,71.8176,-1.8074807
DB0-m2_o1_o14_f0_nbo.sym.64_repeat,72.74363,24.25262
DB0-m2_o1_o14_f0_nbo.sym.65_repeat,69.64287,0.2149707
DB0-m2_o1_o14_f0_nbo.sym.66_repeat,69.87619,1.144509
DB0-m2_o1_o14_f0_nbo.sym.67_repeat,68.77596,-3.6458125
DB0-m2_o1_o14_f0_nbo.sym.68_repeat,70.846,-9.74254
DB0-m2_o1_o14_f0_nbo.sym.69_repeat,47.99319,14.007976
DB0-m2_o1_o14_f0_nbo.sym.7_repeat,56.720806,19.468615
DB0-m2_o1_o14_f0_nbo.sym.71_repeat,69.80399,0.47874907
DB0-m2_o1_o14_f0_nbo.sym.72_repeat,68.66428,6.578497
DB0-m2_o1_o14_f0_nbo.sym.73_repeat,74.476395,-10.855739
DB0-m2_o1_o14_f0_nbo.sym.74_repeat,48.24315,21.103682
DB0-m2_o1_o14_f0_nbo.sym.76_repeat,48.186203,21.02214
DB0-m2_o1_o14_f0_nbo.sym.77_repeat,56.93349,17.658821
DB0-m2_o1_o14_f0_nbo.sym.78_repeat,56.818333,17.236782
DB0-m2_o1_o14_f0_nbo.sym.8_repeat,56.83616,15.385665
DB0-m2_o1_o14_f0_nbo.sym.80_repeat,69.54685,-3.3994405
DB0-m2_o1_o14_f0_nbo.sym.81_repeat,72.23476,27.442242
DB0-m2_o1_o14_f0_nbo.sym.82_repeat,72.481415,-0.5785763
DB0-m2_o1_o14_f0_nbo.sym.83_repeat,69.78771,-7.118709
DB0-m2_o1_o14_f0_nbo.sym.84_repeat,70.21753,25.415642
DB0-m2_o1_o14_f0_nbo.sym.85_repeat,78.18948,0.4322061
DB0-m2_o1_o14_f0_nbo.sym.87_repeat,75.524956,2.3175097
DB0-m2_o1_o14_f0_nbo.sym.88_repeat,76.99225,-0.2610984
DB0-m2_o1_o14_f0_nbo.sym.9_repeat,67.12555,-12.245699
DB0-m2_o1_o14_f0_nbo.sym.90_repeat,74.647545,-7.4361043
DB0-m2_o1_o14_f0_nbo.sym.91_repeat,43.42043,18.435534
DB0-m2_o1_o14_f0_nbo.sym.92_repeat,60.68199,16.797777
DB0-m2_o1_o14_f0_nbo.sym.94_repeat,60.723267,16.42311
DB0-m2_o1_o14_f0_nbo.sym.96_repeat,66.029816,10.835933
DB0-m2_o1_o14_f0_nbo.sym.97_repeat,76.1479,-11.221367
DB0-m2_o1_o14_f0_nbo.sym.98_repeat,20.888552,10.964644
DB0-m2_o1_o14_f0_nbo.sym.99_repeat,75.6672,-11.09577
DB0-m2_o1_o14_f0_nbo_repeat,70.805275,-10.747377
DB0-m2_o1_o15_f0_nbo.sym.101_repeat,-22.147543,33.399235
DB0-m2_o1_o15_f0_nbo.sym.108_repeat,-21.253178,29.687279
DB0-m2_o1_o15_f0_nbo.sym.109_repeat,-20.86524,31.657799
DB0-m2_o1_o15_f0_nbo.sym.110_repeat,-21.155216,29.745365
DB0-m2_o1_o15_f0_nbo.sym.12_repeat,-20.965921,29.925913
DB0-m2_o1_o15_f0_nbo.sym.14_repeat,-21.298615,29.724812
DB0-m2_o1_o15_f0_nbo.sym.15_repeat,-21.20277,29.842701
DB0-m2_o1_o15_f0_nbo.sym.16_repeat,-21.700912,30.610514
DB0-m2_o1_o15_f0_nbo.sym.20_repeat,-22.506475,33.46881
DB0-m2_o1_o15_f0_nbo.sym.23_repeat,-20.734594,28.565374
DB0-m2_o1_o15_f0_nbo.sym.24_repeat,-20.709543,28.514912
DB0-m2_o1_o15_f0_nbo.sym.25_repeat,-20.782576,28.699888
DB0-m2_o1_o15_f0_nbo.sym.26_repeat,-21.113695,29.462208
DB0-m2_o1_o15_f0_nbo.sym.27_repeat,-19.645645,26.794321
DB0-m2_o1_o15_f0_nbo.sym.28_repeat,-19.636318,26.684505
DB0-m2_o1_o15_f0_nbo.sym.29_repeat,-19.637985,26.659138
DB0-m2_o1_o15_f0_nbo.sym.3_repeat,-21.816849,29.895826
DB0-m2_o1_o15_f0_nbo.sym.33_repeat,-21.936163,32.28841
DB0-m2_o1_o15_f0_nbo.sym.34_repeat,-23.04067,32.83133
DB0-m2_o1_o15_f0_nbo.sym.35_repeat,-21.51304,29.814032
DB0-m2_o1_o15_f0_nbo.sym.36_repeat,-22.841393,32.8554
DB0-m2_o1_o15_f0_nbo.sym.4_repeat,-21.777483,30.240541
DB0-m2_o1_o15_f0_nbo.sym.42_repeat,-21.992985,32.48576
DB0-m2_o1_o15_f0_nbo.sym.43_repeat,-22.108887,32.468098
DB0-m2_o1_o15_f0_nbo.sym.44_repeat,-22.116005,32.466286
DB0-m2_o1_o15_f0_nbo.sym.46_repeat,-22.512445,33.438656
DB0-m2_o1_o15_f0_nbo.sym.57_repeat,-22.338062,33.32595
DB0-m2_o1_o15_f0_nbo.sym.59_repeat,-21.95502,31.092663
DB0-m2_o1_o15_f0_nbo.sym.6_repeat,-19.571354,27.102875
DB0-m2_o1_o15_f0_nbo.sym.7_repeat,-21.259254,29.587896
